Year,State_name,State_code,District_name,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,all_weather_road,cc_road_full,pub_trans_bus,pub_trans_van,pub_trans_auto,railway,csc_panchayat,csc_seperate,elec_domes_12hrs,elec_msme,pds,mandi,reg_mkt,weekly_haat,tap_100,clean_energy_hhs,solar_wind_elect,pucca_hhs,panch_bhawan,pib_av_upd,pcomm_pasture,MAP_KEY
2019,BIHAR ,10,GAYA ,196,2886,4403857,2318792,2085065,740798,0.668745669,0.206167706,0.1001386,0.031531532,0.66008316,0.015246015,0.054400554,0.148302148,0.455647956,0.180526681,0.439362439,0.019404019,0.098059598,0.173943174,0.116770617,77.25051975,0.055440055,0.780097948,0.249480249,0.134788635,0.041926542,GAYA
2019,BIHAR ,10,GOPALGANJ ,197,1538,2864221,1448087,1416134,457446,0.78283485,0.22756827,0.16710013,0.089076723,0.386215865,0.016254876,0.091677503,0.249674902,0.750325098,0.169050715,0.459687906,0.039661899,0.165149545,0.157997399,0.153446034,186.7574772,0.044213264,0.911445285,0.326397919,0.102730819,0.048764629,GOPALGANJ
2019,BIHAR ,10,JAMUI ,198,1504,1989156,1058665,930491,340121,0.594414894,0.10106383,0.03125,0.043882979,0.730718085,0.010638298,0.11037234,0.090425532,0.399601064,0.249335106,0.434175532,0.011303191,0.080452128,0.265957447,0.033244681,97.96609043,0.028590426,0.817814836,0.316489362,0.201462766,0.114361702,JAMUI
2019,BIHAR ,10,JEHANABAD ,199,583,1200110,643118,556992,216948,0.835334477,0.20754717,0.106346484,0.024013722,0.66380789,0.034305317,0.135506003,0.132075472,0.660377358,0.33619211,0.540308748,0.044596913,0.096054889,0.027444254,0.221269297,131.8490566,0.036020583,0.849761233,0.295025729,0.210977702,0.063464837,JEHANABAD
2019,BIHAR ,10,KAIMUR (BHABUA),200,1693,1872759,988739,884020,319088,0.631423509,0.197873597,0.116361488,0.176018901,0.454223272,0.00472534,0.09746013,0.082102776,0.440637921,0.209096279,0.339043119,0.031305375,0.066154755,0.030714708,0.103957472,63.06438275,0.096278795,0.849693501,0.148257531,0.068517425,0.046072061,KAIMUR
2019,BIHAR ,10,KATIHAR ,201,1533,3891792,2065244,1826548,787451,0.659491194,0.164383562,0.020221787,0.020874103,0.72407045,0.048923679,0.095890411,0.27136334,0.519895629,0.065231572,0.476190476,0.031311155,0.11741683,0.339204175,0.009784736,180.8056099,0.01369863,0.739496172,0.328767123,0.120026093,0.051532942,KATIHAR
2019,BIHAR ,10,KHAGARIA ,202,309,2126460,1149572,976888,425947,0.74433657,0.207119741,0.174757282,0.012944984,0.501618123,0.080906149,0.343042071,0.184466019,0.504854369,0.174757282,0.741100324,0.03236246,0.343042071,0.122977346,0.012944984,573.2686084,0.106796117,0.77398127,0.637540453,0.071197411,0.087378641,KHAGARIA
2019,BIHAR ,10,KISHANGANJ ,203,771,1662419,855130,807289,341317,0.795071336,0.146562905,0.033722438,0.047989624,0.667963684,0.016861219,0.150453956,0.182879377,0.591439689,0.124513619,0.600518807,0.029831388,0.072632944,0.28923476,0.002594034,150.0142672,0.019455253,0.753170806,0.269779507,0.251621271,0.038910506,KISHANGANJ
2019,BIHAR ,10,LAKHISARAI ,204,470,927236,497685,429551,155302,0.708510638,0.180851064,0.070212766,0.057446809,0.60212766,0.1,0.034042553,0.204255319,0.627659574,0.15106383,0.436170213,0.004255319,0.074468085,0.027659574,0.185106383,129.4893617,0.089361702,0.879537933,0.174468085,0.053191489,0.046808511,LAKHISARAI
2019,BIHAR ,10,MADHEPURA ,205,482,2433174,1303694,1129480,501570,0.773858921,0.346473029,0.143153527,0.041493776,0.62033195,0.033195021,0.143153527,0.39626556,0.574688797,0.22406639,0.72406639,0.014522822,0.095435685,0.414937759,0.058091286,352.1639004,0.064315353,0.717556871,0.576763485,0.170124481,0.085062241,MADHEPURA
