Year,State_name,District_name,State_code,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,MAP_KEY,Banking,Education,Health,Infrastructure,MEGA
2019,MADHYA PRADESH,Niwari,23,722,255,386920,207787,179133,81696,NIWARI,0.88,0.78,1,0.62,0.82
2019,MAHARASHTRA,GONDIA,27,476,933,1140689,576156,564533,291155,GONDIA,0.62,0.78,1,0.48,0.72
2019,ASSAM,MAJULI,18,706,233,199487,102941,96546,39247,MAJULI,0.88,0.67,1,0.81,0.84
2019,UTTAR PRADESH,HAMIRPUR,9,149,482,1132390,607682,524708,210872,HAMIRPUR,0.75,0.78,0.88,0.52,0.7325
2019,MANIPUR,TAMENGLONG,14,258,141,100808,50713,50095,18405,TAMENGLONG,0.88,0.89,1,0.9,0.9175
2019,TELANGANA,SANGAREDDY,36,691,767,1138275,577104,561171,265222,SANGAREDDY,0.62,0.78,1,0.48,0.72
2019,TELANGANA,RANGA REDDY,36,518,765,1096596,562914,533682,276979,RANGA REDDY,0.75,0.78,0.88,0.57,0.745
2019,HARYANA,JHAJJAR,6,64,277,986893,534410,452483,203415,JHAJJAR,0.38,0.44,0.88,0.52,0.555
2019,ARUNACHAL PRADESH,UPPER SUBANSIRI,12,241,478,84848,43572,41276,15489,UPPER SUBANSIRI,1,0.89,1,0.9,0.9475
2019,CHHATTISGARH,SURAJPUR,22,648,547,791647,400518,391129,183788,SURAJPUR,0.88,0.78,1,0.48,0.785
2019,MAHARASHTRA,SINDHUDURG,27,495,769,752016,372362,379654,220316,SINDHUDURG,0.62,0.78,1,0.52,0.73
2019,UTTARAKHAND,UDAM SINGH NAGAR,5,56,613,1017222,525319,491903,200260,UDHAM SINGH NAGAR,0.75,0.78,1,0.62,0.7875
2019,BIHAR,SAHARSA,10,216,475,2079538,1128837,950701,431588,SAHARSA,0.62,0.78,1,0.67,0.7675
2019,TELANGANA,MANCHERIAL,36,684,519,536109,270181,265928,148809,MANCHERIAL,0.75,0.78,1,0.48,0.7525
2019,HIMACHAL PRADESH,KULLU,2,20,452,470110,238958,231152,118012,KULLU,0.5,0.78,0.88,0.52,0.67
2019,NAGALAND,PHEK,13,248,96,158311,80275,78036,36690,PHEK,0.88,0.56,0.88,0.81,0.7825
2019,ASSAM,DIMA HASAO,18,299,674,165573,83555,82018,32307,DIMA HASAO,0.88,0.89,1,0.86,0.9075
2019,NAGALAND,PEREN,13,613,84,98207,49558,48649,22217,PEREN,0.88,0.67,1,0.81,0.84
2019,HARYANA,HISAR,6,63,317,1481535,791787,689748,294493,HISSAR,0.5,0.56,0.75,0.33,0.535
2019,GUJARAT,BANAS KANTHA,24,441,1276,3170473,1654037,1516436,621194,BANASKANTHA,0.5,0.67,0.62,0.29,0.52
2019,PUNJAB,Shahid Bhagat Singh Nagar,3,40,520,551330,284888,266442,112575,SHAHID BHAGAT SINGH NAGAR,0.5,0.67,1,0.48,0.6625
2019,ARUNACHAL PRADESH,SHI YOMI,12,725,113,17048,8329,8719,3270,SHI YOMI,1,1,1,0.81,0.9525
